X,CH1Sequence,Volt
433,-1.57
434,-3.50
435,0.37
436,3.79
437,1.96
438,-2.56
439,-3.64
440,0.36
441,4.91
442,3.52
443,-1.54
444,-3.18
445,0.75
446,4.39
447,3.06
448,-1.97
449,-2.91
450,1.32
451,5.63
452,3.96
453,-0.35
454,-1.96
455,1.52
456,5.37
457,4.12
458,-0.84
459,-1.76
460,2.24
461,6.18
462,4.90
463,0.33
464,-1.71
465,2.09
466,5.68
467,3.90
468,-0.92
469,-2.59
470,1.31
471,5.53
472,4.41
473,-0.81
474,-2.97
475,0.77
476,4.17
477,2.28
478,-2.33
479,-3.74
480,0.41
481,3.93
482,2.59
483,-1.95
484,-3.94
485,-0.20
486,3.38
487,1.39
488,-3.29
489,-4.68
490,-0.90
491,3.37
492,2.28
493,-2.40
494,-3.88
495,-0.44
496,3.10
497,1.38
498,-3.07
499,-4.15
500,-0.09
501,4.33
502,3.03
503,-1.33
504,-3.03
505,0.43
506,4.27
507,2.62
508,-2.35
509,-3.36
510,0.53
511,4.73
512,3.41
513,-0.99
514,-2.83
515,0.56
516,3.57
517,2.10
518,-2.85
519,-4.05
520,-0.37
521,3.90
522,2.53
523,-2.46
524,-4.52
525,-0.93
526,2.47
527,0.69
528,-4.10
529,-5.48
530,-1.33
531,2.46
532,0.94
533,-3.90
534,-5.60
535,-2.67
536,1.26
537,-0.11
538,-5.32
539,-6.13
540,-2.31
541,2.11
542,0.74
543,-3.81
544,-5.44
545,-1.63
546,1.69
547,-0.13
548,-4.37
549,-5.25
550,-1.26
551,3.32
552,1.77
553,-2.83
554,-4.16
555,-0.75
556,2.70
557,1.44
558,-3.38
559,-4.70
560,-0.24
561,3.95
562,2.56
563,-2.45
564,-4.08
565,-0.19
566,3.43
567,1.53
568,-3.10
569,-4.84
570,-0.47
571,3.04
572,1.94
573,-2.96
574,-4.49
575,-0.97
576,2.42
577,0.57
578,-4.17
579,-5.97
580,-1.35
581,2.53
582,0.99
583,-3.71
584,-5.42
585,-2.08
586,1.49
587,0.12
588,-4.75
589,-5.84
590,-1.50
591,2.55
592,1.18
593,-3.50
594,-4.63
595,-1.37
596,2.07
597,0.89
598,-3.58
599,-4.89
600,-0.64
601,3.84
602,2.12
603,-1.90
604,-3.36
605,0.14
606,3.66
607,2.15
608,-2.40
609,-3.58
610,0.67
611,4.75
612,3.65
613,-1.24
614,-2.83
615,0.73
616,4.40
617,2.54
618,-1.96
619,-3.29
620,0.07
621,4.62
622,3.14
623,-1.60
624,-3.32
625,0.16
626,3.35
627,2.18
628,-3.13
629,-4.65
630,-0.61
631,3.62
632,2.34
633,-2.76
634,-4.19
635,-0.40
636,2.97
637,1.05
638,-3.84
639,-4.92
640,-0.89
641,3.57
642,1.73
643,-2.34
644,-4.33
645,-0.28
646,3.07
647,1.44
648,-2.93
649,-4.32
650,-0.01
651,4.29
652,2.72
653,-1.16
654,-2.88
655,0.68
656,4.60
657,2.95
658,-1.47
659,-3.21
660,1.11
661,5.21
662,3.90
663,-0.54
664,-2.36
665,1.08
666,4.38
667,2.67
668,-1.80
669,-3.45
670,0.25
671,4.64
672,3.31
673,-1.90
674,-3.47
675,-0.13
676,3.42
677,1.09
678,-3.49
679,-4.62
680,-0.85
681,3.00
682,1.83
683,-3.23
684,-5.13
685,-1.24
686,2.10
687,0.59
688,-4.11
689,-5.79
690,-1.79
691,2.47
692,1.33
693,-3.26
694,-5.15
695,-1.69
696,2.14
697,1.12
698,-3.99
699,-5.23
